Product,Category
thelema cabernet sauvignon (750ml),RED WINE
fairview darling sauvignon blanc (750ml),WHITE WINE 
singleton of dufftown single malt 15y - 700ml,WHISKY 
freixenet ice rosé (750ml),SPARKLING 
brutal sparkling strawberry - 12pcs,BEER 
kanonkop kadette pinotage (750ml),RED WINE
davidoff vs - 700ml,COGNAC 
"vigorbox 25,000 puffs peach mango watermelon ice",VAPES 
b&g passeport cotes de provence (750ml),PREMIUM WINES 
the gin & sweet wine mixer set,COMBO 
durex lube fruity & body friendly - 50g,CARE PLUS
smirnoff vodka red (750ml),VODKA 
hendrick's gin (750ml),GIN 
swartland winemaker's syrah 750ml),RED WINE
beefeater pink - 750ml,GIN 
cathedral cellar cabernet sauvignon - 750ml,RED WINE
gibson's pink gin (700mls),GIN 
"hello synix 30,000 puffs cherry twist",VAPES 
lions hill sweet rosé (750ml),ROSE WINE
nourish cashewnuts white - 500g,SNACKS 
tugboat 12000 puffs blackberry cranberry,VAPES 
sant'orsola rosè ext dry,ROSE WINE
b&g cuvee speciale sweet red (750ml),RED WINE
b&g cuvee speciale white (750ml),WHITE WINE 
baron d'arignac sparkling demi sec rosé (750ml),SPARKLING 
beefeater london gin - 750ml,GIN 
calvet cognac vs (700ml),COGNAC 
calvet pouilly-fuisse grande reserve 750ml,COGNAC 
camino real tequila gold (750mls),TEQUILLA
castle lite 330ml (can),BEER 
freshy 2500 puffs grape ice,VAPES 
jack daniel's apple - (700ml),WHISKY 
jose cuervo gold (750mls),RED WINE
kiss condom,RED WINE
kwv sparkling cuvee brut (750ml),RED WINE
lions hill dry rosé (750ml),ROSE WINE
pepsi can - 300ml,SODA
roodeberg red,RED WINE
smirnoff red - 250ml,VODKA 
spier signature cabernet sauvignon (750ml),RED WINE
star of africa chardonnay (750ml),WHITE WINE 
sundabests wine glass - 2pc,RED WINE
tanzania cafe coffee beans,COFFEE
thelema merlot (750ml),RED WINE
tugboat 12000 puffs grapes,VAPES 
yellow cap gin 42.80 % 750ml,GIN 
jinro strawberry soju - 360ml tzs0,SOJU
jinro peach soju - 360ml tzs0,SOJU
jinro grapefruit soju - 360ml tzs0,SOJU
jinro plum soju - 360ml tzs0,SOJU
jinro green grape soju - 360ml tzs0,SOJU
jinro soju wholesale - (20 bottles),SOJU
ruslka premium vodka 42.80% 750ml,VODKA 
laborie cap classique brut (750ml),SPARKLING 
label 5 classic black - 0.70l,WHISKY 
dew drop 12l,DRINKING WATER 
footprint pinotage rosé - 750ml,ROSE WINE
serengeti collection merlot (750ml),RED WINE
singleton of dufftown single malt 15y - 700ml ????,WHISKY 
old nick caribbean dark rum (700ml),RUM 
vina albali gran reserva 2018 (750ml),RED WINE
african infusion variety pack,COFFEE
alfa drinking water - 20l,DRINKING WATER 
kifaru ground coffee,COFFEE
chateau bellevue bordeaux red - 0.75l,RED WINE
freshy 2500 puffs mixed berry ice,VAPES 
sir edwards whisky (700ml),WHISKY 
jose cuervo gold (750mls),TEQUILLA
camino real tequila gold (750mls),TEQUILLA
